timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
1731169389.4613652,0.3,-1.1,-0.27,-71.35,4.03,48.58
1731169488.4613652,0.31,-0.7,-0.17,-16.42,19.59,34.0
1731169587.4613652,0.35,-0.95,-0.22,11.66,-15.5,-44.31
1731169687.4613652,0.32,-1.0,-0.01,-25.63,2.2,32.59
1731169787.4613652,0.39,-0.73,-0.22,18.13,18.49,18.49
1731169887.4613652,0.38,-0.89,-0.27,12.33,-26.61,-59.45
1731169987.4613652,0.3,-1.02,0.05,-19.1,12.21,39.43
1731170086.4613652,0.32,-0.93,-0.35,64.58,10.31,13.55
1731170186.4613652,0.31,-1.08,-0.2,66.77,-18.25,-54.63
1731170285.4613652,0.37,-0.87,-0.21,-39.92,20.08,45.72
1731170385.4613652,0.34,-0.75,-0.47,34.3,12.15,-2.69
1731170485.4613652,0.31,-1.09,-0.34,50.66,6.35,-52.8
1731170585.4613652,0.27,-0.82,-0.31,-72.08,12.02,67.2
1731170684.4613652,0.35,-0.68,-0.37,34.97,4.27,-6.65
1731170784.4613652,0.31,-1.08,-0.4,15.01,-12.7,-44.49
1731170883.4613652,0.35,-0.9,-0.34,-30.03,3.54,41.99
1731170982.4613652,0.24,-0.79,-0.4,37.05,0.61,-3.05
1731171082.4613652,0.27,-1.05,-0.45,76.17,-16.54,-57.92
1731171182.4613652,0.33,-0.95,-0.35,-34.73,-5.8,47.97
1731171282.4613652,0.27,-0.75,-0.48,52.86,-11.9,14.04
1731171382.4613652,0.19,-1.11,-0.56,28.93,-11.84,-42.85
1731171482.4613652,0.39,-0.85,-0.39,-36.07,10.74,45.59
1731171582.4613652,0.36,-0.74,-0.4,28.08,1.77,26.25
1731171681.4613652,0.32,-0.85,-0.42,17.03,-3.97,-47.3
1731171780.4613652,0.38,-0.95,-0.23,-42.05,8.3,35.16
1731171880.4613652,0.47,-0.57,-0.33,-5.37,14.28,26.18
1731171979.4613652,0.39,-0.77,-0.37,0.49,-4.15,-51.39
1731172079.4613652,0.37,-0.97,-0.14,-35.34,6.04,35.95
1731172178.4613652,0.49,-0.62,-0.39,16.78,13.79,21.79
1731172278.4613652,0.36,-0.82,-0.41,-1.34,-11.47,-50.42
1731172377.4613652,0.36,-1.0,-0.18,-4.15,6.35,26.73
1731172476.4613652,0.44,-0.74,-0.46,51.51,14.16,16.11
1731172576.4613652,0.34,-0.81,-0.41,20.45,-10.62,-58.9
1731172675.4613652,0.42,-0.89,-0.27,-29.54,15.26,43.33
1731172774.4613652,0.41,-0.65,-0.41,57.19,7.93,2.44
1731172873.4613652,0.3,-0.75,-0.44,46.63,-1.77,-67.87
1731172973.4613652,0.36,-1.0,-0.51,-44.13,7.2,38.64
1731173072.4613652,0.41,-0.58,-0.43,36.32,8.0,11.96
1731173172.4613652,0.31,-0.6,-0.51,26.37,4.88,-51.51
1731173271.4613652,0.37,-0.97,-0.66,-44.74,5.43,32.71
1731173370.4613652,0.46,-0.49,-0.48,-5.31,-1.77,18.68
1731173470.4613652,0.34,-0.58,-0.52,11.11,-5.68,-38.33
1731173569.4613652,0.34,-1.0,-0.56,-34.97,4.88,30.94
1731173668.4613652,0.49,-0.49,-0.46,-16.85,-2.26,20.2
1731173768.4613652,0.44,-0.55,-0.47,-1.22,-2.87,-37.9
1731173868.4613652,0.37,-1.06,-0.47,-68.66,-13.67,21.91
1731173967.4613652,0.49,-0.59,-0.46,17.64,9.46,14.16
1731174067.4613652,0.46,-0.55,-0.44,7.75,2.75,-51.7
1731174167.4613652,0.4,-0.95,-0.36,-38.88,8.06,23.56
1731174267.4613652,0.41,-0.66,-0.39,56.7,8.85,8.3
1731174366.4613652,0.34,-0.58,-0.44,21.12,2.2,-57.01
1731174465.4613652,0.38,-0.97,-0.55,-59.14,9.34,32.41
1731174565.4613652,0.44,-0.65,-0.45,8.67,6.47,26.37
1731174665.4613652,0.37,-0.6,-0.64,15.69,-3.05,-33.02
1731174765.4613652,0.31,-1.0,-0.6,-43.27,7.32,24.72
1731174865.4613652,0.46,-0.74,-0.54,-18.31,7.87,40.71
1731174964.4613652,0.43,-0.57,-0.62,20.57,-4.27,-12.15
1731175064.4613652,0.38,-1.01,-0.61,-11.78,-18.37,-10.62
1731175164.4613652,0.52,-0.63,-0.36,3.85,-11.23,13.67
1731175263.4613652,0.47,-0.57,-0.56,41.26,3.91,-45.41
1731175362.4613652,0.36,-0.98,-0.57,-29.66,2.44,9.16
1731175461.4613652,0.44,-0.58,-0.43,15.87,15.75,22.16
1731175561.4613652,0.35,-0.59,-0.44,17.82,10.68,-41.69
1731175660.4613652,0.39,-1.02,-0.69,-49.8,10.62,21.12
1731175760.4613652,0.41,-0.6,-0.52,21.61,5.74,36.74
1731175860.4613652,0.34,-0.58,-0.55,7.57,7.63,-43.33
1731175960.4613652,0.37,-0.93,-0.69,-49.56,10.62,34.85
1731176060.4613652,0.48,-0.49,-0.54,-8.79,-5.62,23.62
1731176159.4613652,0.4,-0.47,-0.54,10.31,-6.23,-43.95
1731176259.4613652,0.36,-1.0,-0.57,-51.03,-14.34,19.71
1731176359.4613652,0.5,-0.56,-0.35,22.09,-15.01,-7.2
1731176459.4613652,0.38,-0.7,-0.4,28.75,-0.85,-55.66
1731176559.4613652,0.34,-0.89,-0.42,-31.8,3.36,35.16
1731176658.4613652,0.38,-0.68,-0.62,19.9,20.32,18.43
1731176757.4613652,0.33,-0.94,-0.57,8.48,22.71,-27.71
1731176857.4613652,0.46,-0.68,-0.45,-36.44,4.09,46.57
1731176956.4613652,0.36,-0.63,-0.47,61.77,-5.37,-8.79
1731177055.4613652,0.29,-0.83,-0.56,54.2,6.41,-48.34
1731177155.4613652,0.44,-0.77,-0.62,-42.97,3.3,45.47
1731177254.4613652,0.34,-0.68,-0.59,35.89,-5.49,10.86
1731177354.4613652,0.31,-0.9,-0.66,15.32,-3.42,-36.68
1731177454.4613652,0.41,-0.76,-0.52,-36.5,0.37,45.9
1731177554.4613652,0.39,-0.66,-0.52,48.46,-3.72,2.26
1731177654.4613652,0.35,-0.99,-0.6,27.4,-2.93,-44.37
1731177753.4613652,0.42,-0.72,-0.46,-15.63,7.81,41.56
1731177853.4613652,0.4,-0.71,-0.66,33.2,7.87,14.95
1731177953.4613652,0.36,-0.9,-0.56,21.91,2.08,-45.65
1731178053.4613652,0.4,-0.8,-0.49,-23.5,12.27,50.05
1731178152.4613652,0.36,-0.73,-0.61,66.35,2.81,12.39
1731178252.4613652,0.31,-0.83,-0.6,19.84,-1.95,-44.98
1731178351.4613652,0.35,-0.82,-0.45,-42.85,9.58,50.78
1731178451.4613652,0.46,-0.63,-0.48,20.26,1.89,16.72
1731178551.4613652,0.42,-0.66,-0.48,-1.34,-11.05,-37.9
1731178651.4613652,0.43,-0.82,-0.39,-26.98,-6.47,34.42
1731178750.4613652,0.45,-0.69,-0.59,34.42,-2.62,-3.3
1731178850.4613652,0.42,-0.97,-0.59,38.15,-12.33,-46.81
1731178950.4613652,0.46,-0.64,-0.46,-23.13,16.05,40.41
1731179049.4613652,0.43,-0.62,-0.63,-14.04,7.51,-9.89
1731179148.4613652,0.4,-1.08,-0.64,12.45,6.47,-25.7
1731179247.4613652,0.44,-0.6,-0.48,-11.29,16.54,40.04
1731179346.4613652,0.4,-0.64,-0.68,9.7,7.32,-11.29
1731179446.4613652,0.3,-1.06,-0.68,15.99,21.55,-15.2
1731179546.4613652,0.4,-0.66,-0.58,-20.08,-4.27,52.67
1731179645.4613652,0.32,-0.68,-0.69,62.44,-11.78,-2.44
1731179745.4613652,0.29,-0.9,-0.67,23.07,1.65,-29.11
1731179845.4613652,0.45,-0.76,-0.6,-31.01,1.89,33.39
1731179944.4613652,0.4,-0.62,-0.48,18.43,-4.88,15.44
1731180044.4613652,0.39,-0.55,-0.46,-0.18,6.04,-33.33
1731180143.4613652,0.4,-0.85,-0.54,-64.15,13.79,28.63
1731180243.4613652,0.49,-0.48,-0.49,-7.02,6.59,16.91
1731180342.4613652,0.39,-0.53,-0.43,-7.02,-3.17,-42.6
1731180442.4613652,0.37,-0.97,-0.42,-33.63,-6.84,24.9
1731180542.4613652,0.5,-0.56,-0.37,23.19,-0.24,10.56
1731180641.4613652,0.45,-0.48,-0.47,6.77,-0.85,-36.07
1731180741.4613652,0.39,-0.97,-0.5,-23.19,-3.85,23.62
1731180840.4613652,0.45,-0.61,-0.49,21.3,8.36,14.77
1731180939.4613652,0.42,-0.47,-0.46,14.47,7.08,-41.44
1731181038.4613652,0.34,-1.12,-0.8,4.76,5.68,-5.98
1731181137.4613652,0.5,-0.5,-0.56,10.93,5.98,31.56
1731181237.4613652,0.39,-0.51,-0.64,-32.65,5.25,-16.3
1731181337.4613652,0.3,-1.05,-0.84,-61.89,13.31,33.69
1731181437.4613652,0.49,-0.56,-0.58,-0.18,3.42,25.76
1731181536.4613652,0.4,-0.56,-0.68,29.48,-6.53,-26.25
1731181636.4613652,0.38,-1.05,-0.63,-36.62,-0.12,5.74
1731181736.4613652,0.48,-0.65,-0.58,-31.13,4.09,35.4
1731181836.4613652,0.44,-0.52,-0.63,21.48,-0.79,-3.17
1731181935.4613652,0.44,-1.09,-0.68,17.4,-12.39,-28.56
1731182034.4613652,0.47,-0.72,-0.49,-11.11,8.79,41.99
1731182134.4613652,0.42,-0.67,-0.75,19.41,8.36,-4.94
1731182234.4613652,0.37,-0.99,-0.66,19.84,14.77,-61.65
1731182334.4613652,0.43,-0.59,-0.5,-11.72,4.03,45.53
1731182433.4613652,0.35,-0.59,-0.71,45.53,4.94,-19.35
1731182533.4613652,0.21,-1.01,-0.7,-11.11,22.71,-22.64
